benchmark;Promoted;Demoted;Writes DRAM;Writes PCM;Total writes;Reads on DRAM;Reads on PCM;Total reads;Pages on memory;BUFFER SIZE;TIME TO MIGRATE;COUNTERS SIZE;PROMOTE VALUE;DEMOTE VALUE
Basicmath2020-01-191653;14562;15692;714476;8098140;8812616;714497;8099366;8813863;1606;64;2048;4;5.000000;6.000000
Basicmath2020-01-191653;63;1200;8571;8804045;8812616;9790;8804073;8813863;1606;64;2048;4;6.000000;6.000000
Basicmath2020-01-191653;0;1138;6360;8806256;8812616;7596;8806267;8813863;1606;64;2048;4;7.000000;6.000000
Basicmath2020-01-191653;0;1138;6360;8806256;8812616;7596;8806267;8813863;1606;64;2048;4;8.000000;6.000000
Basicmath2020-01-191653;0;1138;6360;8806256;8812616;7596;8806267;8813863;1606;64;2048;4;9.000000;6.000000
Basicmath2020-01-191653;17111;18057;3364003;5448613;8812616;3365952;5447911;8813863;1606;64;8192;4;4.000000;6.000000
Basicmath2020-01-191653;3664;4617;715396;8097220;8812616;716101;8097762;8813863;1606;64;8192;4;5.000000;6.000000
Basicmath2020-01-191653;20;986;23290;8789326;8812616;24529;8789334;8813863;1606;64;8192;4;6.000000;6.000000
Basicmath2020-01-191653;0;967;20706;8791910;8812616;21947;8791916;8813863;1606;64;8192;4;7.000000;6.000000
Basicmath2020-01-191653;0;967;20706;8791910;8812616;21947;8791916;8813863;1606;64;8192;4;8.000000;6.000000
Basicmath2020-01-191653;0;967;20706;8791910;8812616;21947;8791916;8813863;1606;64;8192;4;9.000000;6.000000
Basicmath2020-01-191653;4245;4995;3310209;5502407;8812616;3311779;5502084;8813863;1606;64;32768;4;4.000000;6.000000
Basicmath2020-01-191653;922;1680;767626;8044990;8812616;768768;8045095;8813863;1606;64;32768;4;5.000000;6.000000
Basicmath2020-01-191653;4;780;88147;8724469;8812616;89390;8724473;8813863;1606;64;32768;4;6.000000;6.000000
Basicmath2020-01-191653;0;776;86158;8726458;8812616;87402;8726461;8813863;1606;64;32768;4;7.000000;6.000000
Basicmath2020-01-191653;0;776;86158;8726458;8812616;87402;8726461;8813863;1606;64;32768;4;8.000000;6.000000
Basicmath2020-01-191653;0;776;86158;8726458;8812616;87402;8726461;8813863;1606;64;32768;4;9.000000;6.000000
Basicmath2020-01-191653;61234;62319;3032510;5780106;8812616;3034496;5779367;8813863;1606;64;2048;8;4.000000;6.000000
Basicmath2020-01-191653;1565;2692;66320;8746296;8812616;67690;8746173;8813863;1606;64;2048;8;5.000000;6.000000
Basicmath2020-01-191653;82;1218;9431;8803185;8812616;10645;8803218;8813863;1606;64;2048;8;6.000000;6.000000
Basicmath2020-01-191653;3;1141;6495;8806121;8812616;7731;8806132;8813863;1606;64;2048;8;7.000000;6.000000
Basicmath2020-01-191653;1;1139;6414;8806202;8812616;7650;8806213;8813863;1606;64;2048;8;8.000000;6.000000
Basicmath2020-01-191653;0;1138;6360;8806256;8812616;7596;8806267;8813863;1606;64;2048;8;9.000000;6.000000
Basicmath2020-01-191653;16223;17173;3197072;5615544;8812616;3198603;5615260;8813863;1606;64;8192;8;4.000000;6.000000
Basicmath2020-01-191653;376;1338;76987;8735629;8812616;78278;8735585;8813863;1606;64;8192;8;5.000000;6.000000
Basicmath2020-01-191653;26;991;24843;8787773;8812616;26081;8787782;8813863;1606;64;8192;8;6.000000;6.000000
Basicmath2020-01-191653;1;968;20814;8791802;8812616;22055;8791808;8813863;1606;64;8192;8;7.000000;6.000000
Basicmath2020-01-191653;0;967;20706;8791910;8812616;21947;8791916;8813863;1606;64;8192;8;8.000000;6.000000
Basicmath2020-01-191653;0;967;20706;8791910;8812616;21947;8791916;8813863;1606;64;8192;8;9.000000;6.000000
Basicmath2020-01-191653;3805;4572;3002885;5809731;8812616;3004232;5809631;8813863;1606;64;32768;8;4.000000;6.000000
Basicmath2020-01-191653;81;856;130062;8682554;8812616;131313;8682550;8813863;1606;64;32768;8;5.000000;6.000000
Basicmath2020-01-191653;7;783;89591;8723025;8812616;90833;8723030;8813863;1606;64;32768;8;6.000000;6.000000
Basicmath2020-01-191653;0;776;86158;8726458;8812616;87402;8726461;8813863;1606;64;32768;8;7.000000;6.000000
Basicmath2020-01-191653;0;776;86158;8726458;8812616;87402;8726461;8813863;1606;64;32768;8;8.000000;6.000000
Basicmath2020-01-191653;0;776;86158;8726458;8812616;87402;8726461;8813863;1606;64;32768;8;9.000000;6.000000
Basicmath2020-01-191653;65815;66891;3309008;5503608;8812616;3310576;5503287;8813863;1606;64;2048;16;4.000000;6.000000
Basicmath2020-01-191653;4896;6020;237261;8575355;8812616;240548;8573315;8813863;1606;64;2048;16;5.000000;6.000000
